id,colony,category,zone_no,ward_no,ward_name,rates,rates_no,zone_name
834,Jawaharlal Nehru Camp,G,4,195,Govindpuri,Rs. 46200 Per Square Meter,46200,Central
835,Jawahar Nagar,D,11,69,Kamla Nagar,"Rs. 1,27,680 Per Square Meter",127680,Sadar Paharganj
836,Jawahar Park,F,3,181,Khanpur,"Rs. 56,640 Per Square Meter",56640,South
837,Jawalaheri,G,10,57,Paschim Vihar South,Rs. 46200 Per Square Meter,46200,West
838,Jawala Nagar,F,1,238,Jhilmil,"Rs. 56,640 Per Square Meter",56640,Shahadra South
839,Jawalapuri,D,10,42,Peragharhi,"Rs. 1,27,680 Per Square Meter",127680,West
840,Jawalapuri Extension,G,10,41,Guru Harkishan Nagar,Rs. 46200 Per Square Meter,46200,West
841,Jeevan Niketan,D,10,41,Guru Harkishan Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
842,Jeevan Park,F,6,18,Libas Pur,"Rs. 56,640 Per Square Meter",56640,Civil Line
843,Jeevan Park(Uttam Nagar),G,9,119,Milap Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
844,Jeevan Sarita,F,2,239,Vivek Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
845,Jhagu Mal Colony,F,11,88,Qasabpura,"Rs. 56,640 Per Square Meter",56640,Sadar Paharganj
846,Jhandewalan Area,C,11,90,Model Basti,"Rs. 1,59,840 Per Square Meter",159840,Sadar Paharganj
847,Jhandewalan Extn.,C,11,90,Model Basti,"Rs. 1,59,840 Per Square Meter",159840,Sadar Paharganj
848,Jhangola,H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
849,Jharoda Dairy,G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
850,Jharoda Extn. Burari,G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
851,Jharoda Kalan,H,9,139,Dichaon Kalan,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
852,Jharoda Majra Burari,H,6,8,Jharoda,"Rs. 23,280 Per Square Meter",23280,Civil Line
853,Jhatikra,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
854,Jheel Khurenja,F,1,229,Krishna Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
855,Jheemar Pura Village,H,7,29,Karala,"Rs. 23,280 Per Square Meter",23280,Narela
856,Jhilmil Colony,G,2,239,Vivek Vihar,Rs. 46200 Per Square Meter,46200,Shahadra North
857,Jhilmil Industrial Area,F,2,239,Vivek Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
858,Jhilmil Tahirpur,G,2,239,Vivek Vihar,Rs. 46200 Per Square Meter,46200,Shahadra North
859,Jhuggi Jhonpri Colony,G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
860,Jhuljhuli,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
861,Jia Sarai,E,3,161,Malviya Nagar,"Rs. 70,070 Per Square Meter",70070,South
862,Jitar Nagar,F,1,232,Anarkali,"Rs. 56,640 Per Square Meter",56640,Shahadra South
863,Jiwan Nagar,E,4,156,Bhogal,"Rs. 70,070 Per Square Meter",70070,Central
864,Jiwan Pur Alias Joshipura,H,2,266,Karawal Nagar East,"Rs. 23,280 Per Square Meter",23280,Shahadra North
865,JJ Colony Hastsal,G,10,123,Vikaspuri,Rs. 46200 Per Square Meter,46200,West
866,JJ Colony (Khanpur),G,3,181,Khanpur,Rs. 46200 Per Square Meter,46200,South
867,JJ Colony Nangloi,G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
868,JJ Colony Wazirpur,G,8,65,Nimri Colony,Rs. 46200 Per Square Meter,46200,Rohini
869,"JJ Indra Camp , Saidullajaib",G,3,169,Lado Sarai,Rs. 46200 Per Square Meter,46200,South
870,JNU CAMPUS AREA,B,3,171,Vasant Kunj,"Rs. 2,45,520 Per Square Meter",245520,South
871,JNU Old Campus,B,3,171,Vasant Kunj,"Rs. 2,45,520 Per Square Meter",245520,South
872,Joga Bai Extn.,F,4,205,Zakir Nagar,"Rs. 56,640 Per Square Meter",56640,Central
873,Joga Bai Village,G,4,205,Zakir Nagar,Rs. 46200 Per Square Meter,46200,Central
874,Jogiwara,E,5,86,Ballimaran,"Rs. 70,070 Per Square Meter",70070,City
875,Joharipur,F,2,261,Jiwanpur,"Rs. 56,640 Per Square Meter",56640,Shahadra North
876,Jonapur,H,3,175,Aya Nagar,"Rs. 23,280 Per Square Meter",23280,South
877,Joorbagh,F,8,61,Tri Nagar,"Rs. 56,640 Per Square Meter",56640,Rohini
878,Joshi Colony,F,1,227,IP Extension,"Rs. 56,640 Per Square Meter",56640,Shahadra South
879,Jyoti Colony,F,2,258,Kadam Puri,"Rs. 56,640 Per Square Meter",56640,Shahadra North
880,Jyoti Nagar East,F,2,246,Ashok Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
881,Jyoti Nagar West Extn,F,2,258,Kadam Puri,"Rs. 56,640 Per Square Meter",56640,Shahadra North
882,Kabir Basti,G,6,9,Malkaganj,Rs. 46200 Per Square Meter,46200,Civil Line
883,Kabir Bastu,F,12,92,Dev Nagar,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
884,Kabir Nagar,F,2,258,Kadam Puri,"Rs. 56,640 Per Square Meter",56640,Shahadra North
885,Kabul Nagar,F,2,247,Ram Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
886,Kaccha Bagh Area,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
887,"Kachi Colony, Vijay park",G,2,257,Subhash Mohalla,Rs. 46200 Per Square Meter,46200,Shahadra North
888,Kadi Pur,H,6,5,Bhalswa Jahangir Puri,"Rs. 23,280 Per Square Meter",23280,Civil Line
889,Kadi Pur Vihar,G,6,5,Bhalswa Jahangir Puri,Rs. 46200 Per Square Meter,46200,Civil Line
890,Kailash Colony,B,4,192,Greater Kailash I,"Rs. 2,45,520 Per Square Meter",245520,Central
891,Kailash Enclave,D,8,63,Kohat Enclave,"Rs. 1,27,680 Per Square Meter",127680,Rohini
892,"Kailash Extn., Nasirpur",G,9,146,Sadh Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
893,Kailash Hill,C,4,192,Greater Kailash I,"Rs. 1,59,840 Per Square Meter",159840,Central
894,Kailash Kunj,C,4,192,Greater Kailash I,"Rs. 1,59,840 Per Square Meter",159840,Central
895,Kailash Nagar,F,1,233,Dharam Pura,"Rs. 56,640 Per Square Meter",56640,Shahadra South
896,Kailash Park,E,10,99,Moti Nagar,"Rs. 70,070 Per Square Meter",70070,West
897,"Kailash puri, Nasirpur",G,9,130,Manglapuri,Rs. 46200 Per Square Meter,46200,Nazafgarh
898,"Kailash puri, Palam Colony",G,9,146,Sadh Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
899,Kailash Ram Park Uttam Nagar,G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
900,Kailash Vihar,G,8,26,Sahibabad Daulat Pur,Rs. 46200 Per Square Meter,46200,Rohini
901,Kair,H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
902,Kaithwara,F,2,251,New Usmanpur,"Rs. 56,640 Per Square Meter",56640,Shahadra North
903,Kaithwara Village,F,2,251,New Usmanpur,"Rs. 56,640 Per Square Meter",56640,Shahadra North
904,Kakraola,G,9,135,Kakrola,Rs. 46200 Per Square Meter,46200,Nazafgarh
905,Kakrola Extn. Village Kakraula,G,9,135,Kakrola,Rs. 46200 Per Square Meter,46200,Nazafgarh
906,Kalander,F,2,239,Vivek Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
907,Kalan Mahal,E,5,79,Jama Masjid,"Rs. 70,070 Per Square Meter",70070,City
908,Kali Basti,G,5,154,Nizamuddin,Rs. 46200 Per Square Meter,46200,City
909,Kalindi Colony,A,4,205,Zakir Nagar,"Rs. 7,75,000 Per Square Meter",775000,Central
910,Kalkaji,C,4,194,East of Kailash,"Rs. 1,59,840 Per Square Meter",159840,Central
911,Kalkaji Extn,D,4,197,Tughlakabad,"Rs. 1,27,680 Per Square Meter",127680,Central
912,Kalu Sarai,E,3,161,Malviya Nagar,"Rs. 70,070 Per Square Meter",70070,South
913,Kalyan Puri,G,1,213,Kalyan Puri,Rs. 46200 Per Square Meter,46200,Shahadra South
914,Kalyanvas,F,1,219,Mayur Vihar Phase II,"Rs. 56,640 Per Square Meter",56640,Shahadra South
915,Kalyan Vihar,D,6,70,Rana Pratap Bagh,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
916,"Kamal Kunj , Najafgarh",G,9,137,Roshanpura,Rs. 46200 Per Square Meter,46200,Nazafgarh
917,"Kamal Park, Palam Colony",G,9,146,Sadh Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
918,Kamal Pur,H,6,6,Mukund Pur,"Rs. 23,280 Per Square Meter",23280,Civil Line
919,Kamal Pur (Kamal Vihar),G,6,6,Mukund Pur,Rs. 46200 Per Square Meter,46200,Civil Line
920,"Kamal Vihar,Madhu Vihar",G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
921,Kamaruddin Nagar,G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
922,Kamla Market,D,5,81,Minto Road,"Rs. 1,27,680 Per Square Meter",127680,City
923,"Kamla Market, Roshanpura",G,9,137,Roshanpura,Rs. 46200 Per Square Meter,46200,Nazafgarh
924,Kamla Nagar,D,11,69,Kamla Nagar,"Rs. 1,27,680 Per Square Meter",127680,Sadar Paharganj
925,Kanchipur,F,2,244,Sunder Nagari,"Rs. 56,640 Per Square Meter",56640,Shahadra North
926,Kanchipur Pur Village,G,2,243,Nand Nagri,Rs. 46200 Per Square Meter,46200,Shahadra North
927,Kangan Heri,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
928,Kangra Niketan,D,10,124,Vikas Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
929,Kangra Vihar Mohan Garden Extn.,G,10,125,Mohan Garden,Rs. 46200 Per Square Meter,46200,West
930,Kanhiya Nagar,F,8,61,Tri Nagar,"Rs. 56,640 Per Square Meter",56640,Rohini
931,Kanjhawala,H,7,29,Karala,"Rs. 23,280 Per Square Meter",23280,Narela
932,Kankar Khera,G,8,26,Sahibabad Daulat Pur,Rs. 46200 Per Square Meter,46200,Rohini
933,Kankar Khera Village,H,8,26,Sahibabad Daulat Pur,"Rs. 23,280 Per Square Meter",23280,Rohini
934,Kanti Nagar,F,1,235,Azad Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
935,Kanti Nagar Extn,F,1,236,Raghubar Pura,"Rs. 56,640 Per Square Meter",56640,Shahadra South
936,"Kanwar Singh Nagar,Nangloi",G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
937,Kapas Hara Extn,F,9,143,Kapashera,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
938,Kapas Hera Village,H,9,143,Kapashera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
939,Kapil Vihar,D,8,63,Kohat Enclave,"Rs. 1,27,680 Per Square Meter",127680,Rohini
940,Kapoor Basti,F,1,234,Gandhi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
941,Karala,H,7,29,Karala,"Rs. 23,280 Per Square Meter",23280,Narela
942,Karala Majri,G,7,29,Karala,Rs. 46200 Per Square Meter,46200,Narela
943,Karampura,F,10,100,Karam Pura,"Rs. 56,640 Per Square Meter",56640,West
944,Karampura Industrial Area,E,10,100,Karam Pura,"Rs. 70,070 Per Square Meter",70070,West
945,Karan Vihar (Nangloi),G,8,25,Pooth Kalan,Rs. 46200 Per Square Meter,46200,Rohini
946,Karawal nagar,H,2,265,Shiv Vihar,"Rs. 23,280 Per Square Meter",23280,Shahadra North
947,Karawal nagar,F,2,266,Karawal Nagar East,"Rs. 56,640 Per Square Meter",56640,Shahadra North
948,Karawal Nagar,H,2,265,Shiv Vihar,"Rs. 23,280 Per Square Meter",23280,Shahadra North
949,Karawal Nagar,F,2,266,Karawal Nagar East,"Rs. 56,640 Per Square Meter",56640,Shahadra North
950,Kardampuri,G,2,258,Kadam Puri,Rs. 46200 Per Square Meter,46200,Shahadra North
951,Karkar Duma Colony,D,1,225,Anand Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
952,Karkar Duma Village,G,1,225,Anand Vihar,Rs. 46200 Per Square Meter,46200,Shahadra South
953,Karol Bagh,D,12,91,Karol Bagh,"Rs. 1,27,680 Per Square Meter",127680,Karol Bagh
954,Kartar Nagar,F,2,254,Brahanpuri,"Rs. 56,640 Per Square Meter",56640,Shahadra North
955,Kaseru Walan,E,11,89,Paharganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
956,Kashmere Gate,E,6,77,Kashmiri Gate,"Rs. 70,070 Per Square Meter",70070,Civil Line
957,Kashmiri Colony,G,7,4,Bakhtawarpur,Rs. 46200 Per Square Meter,46200,Narela
958,Kasturba Nagar,F,1,226,Vishwas Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
959,Kasturba Nagar(Sewa Nagar),D,4,157,Kasturba Nagar,"Rs. 1,27,680 Per Square Meter",127680,Central
960,Kasturba Niketan,E,4,155,Lajpat Nagar,"Rs. 70,070 Per Square Meter",70070,Central
961,Kasum Pur Village,H,9,144,Mahipalpur,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
962,Katewra,H,7,28,Bawana,"Rs. 23,280 Per Square Meter",23280,Narela
963,Kathputli Colony JJ Cluster,G,12,150,Sat Nagar,Rs. 46200 Per Square Meter,46200,Karol Bagh
964,Katra Asharfi,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
965,Katra Chhotey Lal,E,5,81,Minto Road,"Rs. 70,070 Per Square Meter",70070,City
966,Katra Dhobl,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
967,Katra Ghel,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
968,Katra Husain Bax,E,5,86,Ballimaran,"Rs. 70,070 Per Square Meter",70070,City
969,Katra Imli,E,6,9,Malkaganj,"Rs. 70,070 Per Square Meter",70070,Civil Line
970,Katra Mashru,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
971,Katra Nawab,E,5,86,Ballimaran,"Rs. 70,070 Per Square Meter",70070,City
972,Katra Neel,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
973,Katra Pedan,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
974,Katra Shahenshah,E,5,79,Jama Masjid,"Rs. 70,070 Per Square Meter",70070,City
975,Katwaria Sarai,E,3,161,Malviya Nagar,"Rs. 70,070 Per Square Meter",70070,South
976,Katyani Vihar,G,7,27,Begumpur,Rs. 46200 Per Square Meter,46200,Narela
977,"Kaushik enclave, Nathu Pura",G,6,7,Burari,Rs. 46200 Per Square Meter,46200,Civil Line
978,"Kavita Colony, Nangloi",F,9,31,Nangloi Jat West,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
979,Kedar Bagh (Rohtak Rd),E,10,99,Moti Nagar,"Rs. 70,070 Per Square Meter",70070,West
980,Keshav Nagar (Ibrahimpur),G,6,5,Bhalswa Jahangir Puri,Rs. 46200 Per Square Meter,46200,Civil Line
981,Keshav Puram(All DDA Flats),F,8,67,Wazirpur,"Rs. 56,640 Per Square Meter",56640,Rohini
982,Keshopur,G,10,116,Vikaspuri East,Rs. 46200 Per Square Meter,46200,West
983,Keshopur,G,10,116,Vikaspuri East,Rs. 46200 Per Square Meter,46200,West
984,Kewal Park,G,6,13,Dhirpur,Rs. 46200 Per Square Meter,46200,Civil Line
985,Kewal Park Extension,E,6,14,Adarsh Nagar,"Rs. 70,070 Per Square Meter",70070,Civil Line
986,"Kewal Park, Pankha Road",F,9,132,Sagarpur West,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
987,Khajan Basti,F,10,110,Janakpuri II,"Rs. 56,640 Per Square Meter",56640,West
988,Khajan Basti Extn,F,10,110,Janakpuri II,"Rs. 56,640 Per Square Meter",56640,West
989,Khajoori Colony,F,2,269,Khajoori Khas,"Rs. 56,640 Per Square Meter",56640,Shahadra North
990,Khajoori Khas,H,2,269,Khajoori Khas,"Rs. 23,280 Per Square Meter",23280,Shahadra North
991,Khajuri Vill.Extn. Khajuri Khas,G,2,269,Khajoori Khas,Rs. 46200 Per Square Meter,46200,Shahadra North
992,Khampur,H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
993,Kham Pur Raya,G,7,4,Bakhtawarpur,Rs. 46200 Per Square Meter,46200,Narela
994,Khanpur Colony,G,3,181,Khanpur,Rs. 46200 Per Square Meter,46200,South
995,Khan Pur Dhani,H,2,261,Jiwanpur,"Rs. 23,280 Per Square Meter",23280,Shahadra North
996,Khanpur Extn,G,3,181,Khanpur,Rs. 46200 Per Square Meter,46200,South
997,Khanpur Village,G,3,181,Khanpur,Rs. 46200 Per Square Meter,46200,South
998,Kharara Village,G,9,145,Palam,Rs. 46200 Per Square Meter,46200,Nazafgarh
999,Kharera,E,3,164,Hauz Khas,"Rs. 70,070 Per Square Meter",70070,South
1000,Khari Baoli,E,5,86,Ballimaran,"Rs. 70,070 Per Square Meter",70070,City
1001,Kharkhari Jatmal,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1002,Kharkhari Nahar,H,9,134,Nangli Sakravati,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1003,Kharkhari Road,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1004,Khayala,G,10,108,Khyala,Rs. 46200 Per Square Meter,46200,West
1005,Khera,H,9,137,Roshanpura,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1006,Khera Dabar,H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1007,Khera Kalan,H,7,3,Alipur,"Rs. 23,280 Per Square Meter",23280,Narela
1008,Khera Khurd,H,7,3,Alipur,"Rs. 23,280 Per Square Meter",23280,Narela
1009,Kheria Mohalla,E,11,76,Deputy Ganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
1010,Khichripur Village,G,1,219,Mayur Vihar Phase II,Rs. 46200 Per Square Meter,46200,Shahadra South
1011,Khirki Ext.,E,3,162,Village Huaz Rani,"Rs. 70,070 Per Square Meter",70070,South
1012,Khirki Village,F,3,191,Shahpur Jat,"Rs. 56,640 Per Square Meter",56640,South
1013,Khizrabad,F,4,205,Zakir Nagar,"Rs. 56,640 Per Square Meter",56640,Central
1014,"Khub Ram Park, Nangloi",G,8,35,Kirari Suleman Nagar,Rs. 46200 Per Square Meter,46200,Rohini
1015,"Khubsoorat Vihar, Mubarakpur Road",G,7,34,Nithari,Rs. 46200 Per Square Meter,46200,Narela
1016,Khureji Khas,G,1,231,Ghondli,Rs. 46200 Per Square Meter,46200,Shahadra South
1017,Khush Dil,E,5,83,Bazar Sita Ram,"Rs. 70,070 Per Square Meter",70070,City
1018,Khusi Ram Park,G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
1019,"Khyala Phase I,II,III",G,10,108,Khyala,Rs. 46200 Per Square Meter,46200,West
1020,Khyber Pass,E,6,78,Majnu Ka Tilla,"Rs. 70,070 Per Square Meter",70070,Civil Line
1021,Kilokari Extn,E,4,156,Bhogal,"Rs. 70,070 Per Square Meter",70070,Central
1022,Kilokri,E,4,156,Bhogal,"Rs. 70,070 Per Square Meter",70070,Central
1023,"Kilokri, Ring Road",B,4,156,Bhogal,"Rs. 2,45,520 Per Square Meter",245520,Central
1024,Kiran Garden,G,9,119,Milap Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
1025,Kiran Vihar,D,1,225,Anand Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
1026,Kirari Extension Part 1 to 4,G,8,25,Pooth Kalan,Rs. 46200 Per Square Meter,46200,Rohini
1027,Kirari Suleman Nagar,H,8,35,Kirari Suleman Nagar,"Rs. 23,280 Per Square Meter",23280,Rohini
1028,Kirari Suleman Nagar Colony,G,8,35,Kirari Suleman Nagar,Rs. 46200 Per Square Meter,46200,Rohini
1029,Kirari Village,H,8,35,Kirari Suleman Nagar,"Rs. 23,280 Per Square Meter",23280,Rohini
1030,Kirpal Bagh,D,6,72,Model Town,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
1031,Kirti Nagar,D,10,97,Kirti Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
1032,Kirti Nagar Ind Area,E,10,97,Kirti Nagar,"Rs. 70,070 Per Square Meter",70070,West
1033,Kishan Ganj,E,11,75,Kishan Ganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
1034,Kishan garh Colony,E,3,169,Lado Sarai,"Rs. 70,070 Per Square Meter",70070,South
1035,Kishangarh Village,G,3,169,Lado Sarai,Rs. 46200 Per Square Meter,46200,South
1036,Kohat Enclave,D,8,63,Kohat Enclave,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1037,Kondali Extn,G,1,215,Kondli,Rs. 46200 Per Square Meter,46200,Shahadra South
1038,Kondli Village,H,1,215,Kondli,"Rs. 23,280 Per Square Meter",23280,Shahadra South
1039,Kotla,G,1,209,Mayur Vihar Phase I,Rs. 46200 Per Square Meter,46200,Shahadra South
1040,Kotla Mahingiran,H,4,198,Pul Pehladpur,"Rs. 23,280 Per Square Meter",23280,Central
1041,Kotla Mubarakpur,E,4,158,Kotla Mubarakpur,"Rs. 70,070 Per Square Meter",70070,Central
1042,"Kotla Vihar, Tilangpur",G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
1043,Kotla Village,G,1,209,Mayur Vihar Phase I,Rs. 46200 Per Square Meter,46200,Shahadra South
1044,Krishan Kunj,F,1,222,Laxmi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1045,Krishan Vihar Colony Bawana,G,7,28,Bawana,Rs. 46200 Per Square Meter,46200,Narela
1046,Krishan Vihar Najafgarh,G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
1047,Krishi Kunj,D,12,151,Inderpuri,"Rs. 1,27,680 Per Square Meter",127680,Karol Bagh
1048,Krishi Niketan,D,10,58,Paschim Vihar North,"Rs. 1,27,680 Per Square Meter",127680,West
1049,Krishi Vihar,B,3,191,Shahpur Jat,"Rs. 2,45,520 Per Square Meter",245520,South
1050,"Krishna Enclave, Najafgarh",G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
1051,Krishna Estate,G,7,4,Bakhtawarpur,Rs. 46200 Per Square Meter,46200,Narela
1052,Krishna Nagar,E,1,229,Krishna Nagar,"Rs. 70,070 Per Square Meter",70070,Shahadra South
1053,Krishna Nagar (Karol Bagh),D,12,91,Karol Bagh,"Rs. 1,27,680 Per Square Meter",127680,Karol Bagh
1054,Krishna Nagar(Singhu),G,7,4,Bakhtawarpur,Rs. 46200 Per Square Meter,46200,Narela
1055,Krishna Nagar (South Delhi),E,3,163,Safdarjang Enclave,"Rs. 70,070 Per Square Meter",70070,South
1056,Krishnan Society,G,9,130,Manglapuri,Rs. 46200 Per Square Meter,46200,Nazafgarh
1057,Krishna Park,D,10,113,Mahabir Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
1058,Krishna Park Extn,D,10,113,Mahabir Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
1059,Krishna Park Khanpur Deovli,G,3,181,Khanpur,Rs. 46200 Per Square Meter,46200,South
1060,Krishna Park Tughlakabad,G,4,185,Tughlakabad Extn.,Rs. 46200 Per Square Meter,46200,Central
1061,Krishnapuri(22),D,10,114,Tilak Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
1062,Krishna Puri(87),G,2,247,Ram Nagar,Rs. 46200 Per Square Meter,46200,Shahadra North
1063,Krishna Puri Mandavli,G,1,223,Shakarpur,Rs. 46200 Per Square Meter,46200,Shahadra South
1064,Krishna Vihar,G,8,25,Pooth Kalan,Rs. 46200 Per Square Meter,46200,Rohini
1065,Krishna Vihar,G,7,4,Bakhtawarpur,Rs. 46200 Per Square Meter,46200,Narela
1066,Kucha Alam,E,5,79,Jama Masjid,"Rs. 70,070 Per Square Meter",70070,City
1067,Kucha Bulaki Begam,E,5,79,Jama Masjid,"Rs. 70,070 Per Square Meter",70070,City
1068,Kucha Ghasiram,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
1069,Kuchalal Man,E,5,84,Turkman Gate,"Rs. 70,070 Per Square Meter",70070,City
1070,Kucha Mahajani,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
1071,Kucha Natwa,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
1072,Kucha Pandit,E,5,82,Kucha Pandit,"Rs. 70,070 Per Square Meter",70070,City
1073,Kucha Pati Ram,E,5,82,Kucha Pandit,"Rs. 70,070 Per Square Meter",70070,City
1074,Kucha Sohan Lal,E,5,82,Kucha Pandit,"Rs. 70,070 Per Square Meter",70070,City
1075,Kucha Tiku Sah,E,5,82,Kucha Pandit,"Rs. 70,070 Per Square Meter",70070,City
1076,Kuldeep Nagar,G,2,247,Ram Nagar,Rs. 46200 Per Square Meter,46200,Shahadra North
1077,"Kumar Enclave, Dindar Pur",G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
1078,Kuncha Rahman,E,5,86,Ballimaran,"Rs. 70,070 Per Square Meter",70070,City
1079,Kundan Nagar,F,1,221,Kishan Ganj,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1080,"Kunwar Singh Park, Ranhola",G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
1081,Kureni,H,7,1,Narela,"Rs. 23,280 Per Square Meter",23280,Narela
1082,Kushak,G,7,4,Bakhtawarpur,Rs. 46200 Per Square Meter,46200,Narela
1083,Lachaman Park,F,1,231,Ghondli,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1084,Ladha Sarai,G,3,170,Mehrauli I,Rs. 46200 Per Square Meter,46200,South
1085,Lado Sarai,F,3,169,Lado Sarai,"Rs. 56,640 Per Square Meter",56640,South
1086,Lado Sarai Extn.,F,3,169,Lado Sarai,"Rs. 56,640 Per Square Meter",56640,South
1087,Ladpur,H,7,29,Karala,"Rs. 23,280 Per Square Meter",23280,Narela
1088,Lajpat Nagar-I,C,4,159,Adnisganj,"Rs. 1,59,840 Per Square Meter",159840,Central
